dataset,split,class,image_path,width,height,label_path,label_count
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_127.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_128.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_129.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_13.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_130.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_131.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_132.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_133.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_134.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_135.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_136.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_137.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_138.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_139.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_14.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_140.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_141.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_142.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_143.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_144.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_145.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_146.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_147.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_148.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_149.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_15.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_150.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_151.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_152.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_153.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_154.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_155.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_156.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_157.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_158.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_159.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_16.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_160.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_161.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_162.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_163.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_164.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_165.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_166.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_167.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_168.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_169.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_17.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_170.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_171.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_172.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_173.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_174.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_175.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_176.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_177.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_178.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_179.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_18.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_180.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_181.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_182.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_183.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_184.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_185.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_186.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_187.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_188.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_189.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_19.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_190.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_191.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_192.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_193.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_194.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_195.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_196.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_197.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_198.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_199.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_20.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_21.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_22.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_23.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_24.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_25.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_26.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_27.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_28.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_29.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_30.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_31.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_32.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_33.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_34.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_35.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_36.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_37.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_38.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_39.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_40.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_41.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_42.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_43.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_44.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_45.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_46.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_47.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_48.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_49.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_50.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_51.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_52.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_53.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_54.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_55.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_56.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_57.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_58.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_59.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_60.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_61.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_62.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_63.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_64.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_65.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_66.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_67.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_68.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_69.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_70.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_71.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_72.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_73.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_74.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_75.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_76.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_77.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_78.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_79.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_80.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_81.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_82.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_83.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_84.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_85.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_86.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_87.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_88.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_89.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_90.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_91.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_92.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_93.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_94.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_95.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_96.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_97.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_98.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_99.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_001_rot0.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_001_rot180.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_001_rot270.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_001_rot90.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_002_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_002_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_002_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_002_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_003_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_003_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_003_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_003_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_004_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_004_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_004_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_004_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_005_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_005_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_005_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_005_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_006_rot0.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_006_rot180.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_006_rot270.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_006_rot90.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_007_rot0.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_007_rot180.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_007_rot270.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/Brown Spot_007_rot90.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_10.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_100.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_101.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_102.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_103.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_104.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_105.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_106.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_107.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_108.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_109.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_11.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_110.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_111.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_112.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_113.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_114.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_115.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_116.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_117.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_118.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_119.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_12.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_120.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_121.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_122.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_123.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_124.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_125.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_126.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_127.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_128.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_129.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_13.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_130.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_131.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_132.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_133.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_134.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_135.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_136.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_137.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_138.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_139.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_14.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_140.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_141.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_142.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_143.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_144.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_145.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_146.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_147.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_148.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_149.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_15.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_150.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_151.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_152.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_153.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_154.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_155.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_156.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_157.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_158.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_159.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_16.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_160.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_161.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_162.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_163.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_164.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_165.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_166.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_167.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_168.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_169.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_17.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_170.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_171.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_172.jpg,960,1280,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_173.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Fruit Rot/aug_174.jpg,1280,960,,
